- Recover from Injury	- 怪我からの回復
|>11|?L|Bato, a devoted friend to the very core, was always close at hand once you arrived in Tsarath.{LF}{LF}Though he sometimes bordered on overbearing, he always put on a bright face and kept after you to take care of yourself, and having him nearby made the transition into your new life easier.{LF}{LF}He made a point of helping out with repairs, construction, and hunting in your new home whenever an opportunity arose, and eventually attracted the attention of a few bright-eyed young orcs who follow him around like lost pups.{LF}{LF}He managed to shape them up into a freelance labour crew, and seems happy to be at the center of their attention.	|>11|?L|忠心不二的巴托自你抵达沙拉斯后常伴左右。{LF}{LF}虽有时近乎专横，但他总展露爽朗笑容督促你照顾好自己，有他在旁让你更快适应新生活。{LF}{LF}他总抓住机会帮你修缮房屋、建造猎舍，渐渐吸引了几名目光炯炯的年轻兽人，像迷途幼犬般追随他。{LF}{LF}他将他们培养成自由劳工队，似乎很享受成为众人焦点的感觉。
|>13|?L|Beauregard was particularly overwhelmed by all of the changes sweeping over the island. {LF}{LF}When word got out that he was a survivor from old Lukatt, and that he was several hundred years old, he began to be harassed by people calling themselves historians; people who didn't like the way their accounts of Lukatt's history differed from his, and one day he simply disappeared.{LF}{LF}His whereabouts are unknown.	|>13|?L|博雷加德尤其被席卷全岛的剧变压得喘不过气。{LF}{LF}当他是旧卢卡特幸存者且活了几百岁的消息传开后，自称历史学家的人开始骚扰他——这些人不满其历史记载与他所述相悖，某天他突然销声匿迹。{LF}{LF}至今下落不明。
|>13|?L|Though he helped with building the boat, Beauregard was unwilling to leave behind the only home he had ever known, and he did not make the journey to Tsarath with you.{LF}{LF}He remained on Lukatt and moved into Spartill Lodge, one of the few remaining familiar places to him, and is presumably still there, making a place for himself among the people who still dwell on the island.{LF}{LF}	|>13|?L|尽管协助造船，博雷加德却不愿离开唯一的故乡，未随你同往沙拉斯。{LF}{LF}他留在卢卡特，迁入斯帕提尔 Lodge——少数尚存的熟悉之地，想必仍在岛上居民中寻找自己的位置。{LF}{LF}
|>14|?L|Beauregard was particularly overwhelmed by all of the changes sweeping over the island, and often came to you for advice and guidance.{LF}{LF}Knowing that he was once a military officer, you appointed him as a general in charge of rebuilding new Lukatt's military.{LF}{LF}At first, he was shocked, but he didn't want to disappoint you, and having a familiar responsibility to focus on seemed to give him some purpose. He eventually began to shed his doubts and find his feet once more.{LF}{LF}Now, General Beauregard lives at Spartill Lodge, but he is often at your side and at your table, advising you on military and tactical matters, and offering you and the new nation the same support you once offered him.	|>14|?L|博雷加德被岛上的翻天覆地压得透不过气，常来向你寻求指引。{LF}{LF}得知他曾任军官，你任命他为将军负责新卢卡特军队重建。{LF}{LF}起初他震惊不已，但不愿辜负你，而熟悉的职责让他重拾目标，逐渐摆脱疑虑站稳脚跟。{LF}{LF}如今博雷加德将军驻守斯帕提尔 Lodge，却常伴你左右参与议政，就军事战术献计，为你与新国家提供你曾给予他的同等支持。
|>14|?L|Seeing his whole world in shambles was painful for him, so convincing Beauregard to come to Tsarath with you was not difficult. He had even been there once before, hundreds of years past, and seemed eager to see their progress.{LF}{LF}He eventually found himself a place in one of the many Tsarathi military schools, where spending his time training and parenting the young orc boys seemed to soothe his confusion, and his mood lightened considerably in the years that followed.{LF}{LF}He never had a chance at marrying, but surrounded as he is by his adopted nephews, his life is a happy one.	|>14|?L|眼看着他整个世界的崩塌，对他来说是痛苦的，所以说服博雷加德和你一起去查拉斯并不难。他几百年前曾去过那里一次，似乎很渴望看到他们的发展。{LF}{LF}最终，他在查拉斯的众多军事学院之一找到了自己的位置。在那里，他把时间花在训练和抚养年轻的兽人男孩上，这似乎抚平了他的困惑，在接下来的几年里，他的心情也大大好转了。{LF}{LF}他从未有机会结婚，但被收养的侄子们包围着，他的生活是幸福的。
|>16|?L|When your band began work on the boat, Borfalgor, unsure of your destination or your motivations, disappeared one night and did not return.{LF}{LF}Presumably, he has returned to whatever it was he was doing before you found him, living his life on the island where he was born.	|>16|?L|当你的团队开始造船时，博尔法尔格，因为不确定你的目的地或动机，在某天晚上消失了，再也没回来。{LF}{LF}很可能，他已经回到了你找到他之前所做的事情上，在他出生的岛屿上生活。
|>16|?L|Borfalgor disappeared when the first boat of immigrants arrived.{LF}{LF}Though it's possible that he simply retreated to watch the island's progress from a distance, you have heard some reports that he stowed away on the ship as it returned to the mainland.{LF}{LF}You can't be certain, but he is probably exploring on his own, seeing more sights than any goblin ever has before.	|>16|?L|第一批移民船抵达时，博尔法尔格消失了。{LF}{LF}虽然有可能他只是退到远处观察岛屿的发展，但你听到一些报告说，他在船返回大陆时偷偷溜了上去。{LF}{LF}你无法确定，但他很可能正在独自探索，看到的风景比任何地精都多。
|>17|?L|When it became obvious that marauding goblin tribes were a threat to the burgeoning civilization, Borfalgor offered to head the effort to get them under control. He seemed convinced that they could be confined to their own lands without exterminating them, and wanted to try.{LF}{LF}The effort, however, did not go well, and he has since given up on trying to bridge the gap between the goblins and the rest of civilization.{LF}{LF}He currently wanders the island, sending you regular reports regarding monster populations and rebuilding progress. He promises to return soon, once he feels like he has a proper grasp on his place in the world.	|>17|?L|当掠夺的地精部落对新兴文明构成威胁变得明显时，博尔法尔格主动提出领导控制他们的行动。他似乎深信可以在不灭绝他们的情况下将他们限制在自己的土地上，并想尝试一下。{LF}{LF}然而，这项行动进行得并不顺利，他自此放弃了弥合地精与其他文明之间鸿沟的尝试。{LF}{LF}他目前在该岛上游荡，定期向你报告怪物种群和重建进度。他承诺，一旦他觉得自己真正找到了在这个世界上的位置，就会很快回来。
|>17|?L|Borfalgor was eager to see the world outside of Lukatt, and made the journey to Tsarath with you, unafraid of the consequences.{LF}{LF}Though his reception in Tsarath was not exactly warm, he was for the most part tolerated.{LF}{LF}One day in the marketplace, thanks to his keen eye for jewelry, he spotted a trader selling fake stones and managed to very publicly prove the man's fraud. He was approached by a merchant and offered an ongoing job overseeing and appraising valuables.{LF}{LF}He draws a lot of business to the shop on his novelty alone, and he gets to see an endless parade of priceless treasures brought before him, all without having to leave his lavish accomodations, and he seems happy with the place he has found himself.	|>17|?L|博尔法尔格渴望看到卢卡特以外的世界，不顾后果地与你一同前往查拉斯。{LF}{LF}虽然他在查拉斯受到的接待并不十分热情，但大体上还是被容忍了。{LF}{LF}有一天在市场上，凭借他对珠宝的敏锐眼光，他发现一个商人在卖假宝石，并成功地在公众面前揭穿了那人的骗局。一位商人找到他，提供了一份长期工作，负责监督和评估贵重物品。{LF}{LF}仅凭他的新奇身份，他就为商店招揽了大量生意，而且无需离开他奢华的住所，就能看到无数无价之宝呈现在他面前，他似乎对自己找到的这个位置很满意。
|>19|?L|Though Borgnina generally approved of the changes made on the island, she was always more than a little wary about your encounter with Leviathan.{LF}{LF}She never asked you about it directly, but you frequently got the sense that she was unhappy, and one day she told you that her pilgrimage was over, and that she was leaving.{LF}{LF}”Be careful,” she warned as she turned to leave for the last time. ”Remember what happened to Glamig. Don't follow her.”{LF}{LF}Then she was gone, and you have not seen her again.	|>19|?L|尽管博尔尼娜大体上赞同岛上发生的变化，但她对你与利维坦的遭遇始终抱有不止一点点的警惕。{LF}{LF}她从未直接向你询问过此事，但你常常感觉到她不开心，有一天她告诉你，她的朝圣之旅结束了，她要离开了。{LF}{LF}“小心点，”她最后一次转身离开时警告道。“记住格拉米格身上发生了什么。别步她的后尘。”{LF}{LF}然后她就走了，你再也没有见过她。
|>19|?L|Since she had come to Lukatt voluntarily, when you arrived in Tsarath, Borgnina immediately began to make arrangements for transport on another ship bound for Crest.{LF}{LF}She returned to her previous community in order to announce the success of her pilgrimage, but then quickly requested transfer to another hamlet, where she has settled back into old patterns, serving as an agent of law and faith.	|>19|?L|由于她是自愿来到卢卡特的，当你抵达查拉斯时，博尔尼娜立即开始安排搭乘另一艘前往克雷斯特的船。{LF}{LF}她回到之前的社区宣布她朝圣的成功，但很快请求调往另一个村庄，在那里她重新融入了旧有的模式，担任法律与信仰的执行者。
